timestamp,turnover,cost_frac,gross_ret,net_ret,equity_before
2024-05-14,1.0,0.0008314873112018732,0.07513992575202466,0.07430843844082279,100000.0
2024-05-15,1.0,0.0008314873112018732,0.0,-0.0008314873112018732,107430.84384408228
2024-05-16,1.0,0.0008314873112018732,0.027021805430121004,0.026190318118919132,107341.51646059421
2024-05-17,0.0,0.0,-0.0014198268139744563,-0.0014198268139744563,110152.82492406436
2024-05-18,0.0,0.0,-0.009650907753468996,-0.009650907753468996,109996.42698960214
2024-05-19,0.0,0.0,0.07891224860128565,0.07891224860128565,108934.86161951431
2024-05-20,1.0,0.0008314873112018732,0.0,-0.0008314873112018732,117531.15650098007
2024-05-21,0.0,0.0,0.0,0.0,117433.43083567862
2024-05-22,0.0,0.0,0.0,0.0,117433.43083567862
2024-05-23,0.0,0.0,0.0,0.0,117433.43083567862
2024-05-24,0.0,0.0,0.0,0.0,117433.43083567862
2024-05-25,0.0,0.0,0.0,0.0,117433.43083567862
2024-05-26,0.0,0.0,0.0,0.0,117433.43083567862
2024-05-27,1.0,0.0008314873112018732,-0.014700208460502018,-0.015531695771703892,117433.43083567862
2024-05-28,0.0,0.0,-0.011013946420613596,-0.011013946420613596,115609.49051451143
2024-05-29,0.0,0.0,0.010575194240523,0.010575194240523,114336.17378027017
2024-05-30,0.0,0.0,-0.012055114944629297,-0.012055114944629297,115545.30102671472
2024-05-31,0.0,0.0,0.0032747392268774878,0.0032747392268774878,114152.38914152588
2024-06-01,0.0,0.0,9.882122502924418e-05,9.882122502924418e-05,114526.20844808943
2024-06-02,0.0,0.0,0.015419012209851868,0.015419012209851868,114537.52606830622
2024-06-03,0.0,0.0,0.02510624330078981,0.02510624330078981,116303.58158123966
2024-06-04,0.0,0.0,0.007839331255313109,0.007839331255313109,119223.52759717152
2024-06-05,0.0,0.0,-0.004263825803104915,-0.004263825803104915,120158.1603234327
2024-06-06,0.0,0.0,-0.020513906536778204,-0.020513906536778204,119645.82685899203
2024-06-07,0.0,0.0,-0.00043962696570909454,-0.00043962696570909454,117191.42354929112
